position,title
Q268984,President
Q1195270,Prime Minister
Q16973527,Deputy Prime Minister
Q20675343,Finance Minister
Q29017739,Health Minister
Q108069397,Minister of Agriculture
Q108068933,"Minister of Construction, Physical Planning and State Property"
Q54869586,Minister of Culture
Q47449525,Minister of Defence
Q108069316,Minister of Economy and Sustainable Development
Q108069326,Minister of Environmental Protection and Energy
Q22979107,Minister of Foreign and European Affairs
Q30344682,Minister of Justice
Q108069330,Minister of Labour and Pension System
Q107370329,"Minister of Maritime Affairs, Transport and Infrastructure"
Q108069431,Minister of Public Administration
Q108069372,Minister of Regional Development and EU Funds
Q30140238,Minister of Science and Education
Q108069383,Minister of State Property
Q108068872,Minister of the Interior
Q110124195,Minister of Tourism
Q108069630,Minister of Tourism and Sport
Q108068825,Minister of Veterans Affairs
Q3357859,Speaker of the Croatian Parliament
Q1704651,Chief of the General Staff of the Armed Forces
Q109467807,Governor of the Central Bank
Q99248243,mayor of Zagreb
