pageid,title
11558916,Zoran Milanović
15249453,Gordan Jandroković
28049197,Radovan Fuchs
30322580,Davor Božinović
39868011,Boris Vujčić
40129899,Andrej Plenković
49514755,Zdravko Marić
52043617,Nina Obuljen Koržinek
61318685,Gordan Grlić-Radman
61322902,Ivan Malenica (politician)
63206195,Vili Beroš
64262581,Tomislav Tomašević
64636068,Boris Milošević
64806304,Marija Vučković
64806506,Mario Banožić
64806688,Tomislav Ćorić
64806868,Oleg Butković
64806931,Nataša Tramišak
64807026,Nikolina Brnjac
65969230,Robert Hranj
70302392,Ivan Paladina
