ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,isa,isaLabel,parent,parentLabel,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q3401715,Cabinet of Stjepan Mesić,1990-05-30,11,,,1990-08-24,11,,,Q1278383,Government of Croatia,,,,,Q5015524,Cabinet of Josip Manolić,,,,
,Q5015524,Cabinet of Josip Manolić,1990-08-24,11,,,1991-07-17,11,,,Q1278383,Government of Croatia,,,Q3401715,Cabinet of Stjepan Mesić,,,,,,
,Q5015514,Cabinet of Franjo Gregurić,1991-07-17,11,1991-01-01,9,1992-08-12,11,1992-01-01,9,Q1278383,Government of Croatia,,,,,,,,,,
,Q5015519,Cabinet of Hrvoje Šarinić,1992-08-12,11,1992-08-12,11,1993-04-03,11,1993-04-03,11,Q1278383,Government of Croatia,,,,,,,,,,
,Q5015540,Cabinet of Nikica Valentić,1993-04-03,11,1993-01-01,9,1995-11-07,11,1995-01-01,9,Q1278383,Government of Croatia,,,,,,,,,,
,Q3485740,Cabinet of Zlatko Mateša,1995-11-07,11,1995-11-07,11,2000-01-27,11,2000-01-27,11,Q1278383,Government of Croatia,,,,,,,,,,
7,Q2750323,Cabinet of Ivica Račan I,2000-01-27,11,2000-01-01,9,2002-07-30,11,2002-01-01,9,Q1278383,Government of Croatia,,,,,Q2748538,Cabinet of Ivica Račan II,Q3485740,Cabinet of Zlatko Mateša,Q2748538,Cabinet of Ivica Račan II
,Q2748538,Cabinet of Ivica Račan II,2002-07-30,11,2002-01-01,9,2003-12-23,11,2003-01-01,9,Q1278383,Government of Croatia,,,Q2750323,Cabinet of Ivica Račan I,Q926958,Cabinet of Ivo Sanader I,,,Q926958,Cabinet of Ivo Sanader I
,Q926958,Cabinet of Ivo Sanader I,2003-12-23,11,2003-01-01,9,2008-01-12,11,2008-01-01,9,Q1278383,Government of Croatia,,,Q2748538,Cabinet of Ivica Račan II,Q2750328,Cabinet of Ivo Sanader II,Q2748538,Cabinet of Ivica Račan II,Q2750328,Cabinet of Ivo Sanader II
,Q2750328,Cabinet of Ivo Sanader II,2008-01-12,11,2008-01-01,9,2009-07-06,11,2009-01-01,9,Q1278383,Government of Croatia,,,Q926958,Cabinet of Ivo Sanader I,Q3030213,Cabinet of Jadranka Kosor,Q926958,Cabinet of Ivo Sanader I,Q3030213,Cabinet of Jadranka Kosor
,Q3030213,Cabinet of Jadranka Kosor,2009-07-06,11,,,2011-12-23,11,,,Q1278383,Government of Croatia,,,Q2750328,Cabinet of Ivo Sanader II,Q2412031,Cabinet of Zoran Milanović,Q2750328,Cabinet of Ivo Sanader II,Q2412031,Cabinet of Zoran Milanović
,Q2412031,Cabinet of Zoran Milanović,2011-12-23,11,,,2016-01-22,11,,,Q1278383,Government of Croatia,,,Q3030213,Cabinet of Jadranka Kosor,Q22227945,Cabinet of Tihomir Orešković,Q3030213,Cabinet of Jadranka Kosor,Q22227945,Cabinet of Tihomir Orešković
,Q22227945,Cabinet of Tihomir Orešković,2016-01-22,11,,,2016-10-19,11,,,Q1278383,Government of Croatia,,,Q2412031,Cabinet of Zoran Milanović,Q27468682,Cabinet of Andrej Plenković,Q2412031,Cabinet of Zoran Milanović,Q27468682,Cabinet of Andrej Plenković
,Q27468682,Cabinet of Andrej Plenković,2016-10-19,11,,,2020-07-23,11,,,Q1278383,Government of Croatia,,,Q22227945,Cabinet of Tihomir Orešković,Q97652364,Cabinet of Andrej Plenković II,,,,
,Q97652364,Cabinet of Andrej Plenković II,2020-07-23,11,,,,,,,Q1278383,Government of Croatia,,,Q27468682,Cabinet of Andrej Plenković,,,,,,
